"ID","x-position","y-position","z-position","algorithm"
0,-8,50,22,"nodes_testalgorithm.lua"
1,43,-50,-37,"nodes_testalgorithm.lua"
2,-20,50,-35,"nodes_testalgorithm.lua"
3,-26,-41,-10,"nodes_testalgorithm.lua"
4,-31,-11,-15,"nodes_testalgorithm.lua"
5,17,-10,44,"nodes_testalgorithm.lua"
6,4,35,-8,"nodes_testalgorithm.lua"
7,-19,19,2,"nodes_testalgorithm.lua"
8,-30,-6,38,"nodes_testalgorithm.lua"
9,-27,-47,3,"nodes_testalgorithm.lua"
10,17,41,-8,"nodes_testalgorithm.lua"
11,-4,6,-7,"nodes_testalgorithm.lua"
12,-36,44,-30,"nodes_testalgorithm.lua"
13,28,30,22,"nodes_testalgorithm.lua"
14,47,30,-19,"nodes_testalgorithm.lua"
15,-41,19,2,"nodes_testalgorithm.lua"
16,38,37,39,"nodes_testalgorithm.lua"
17,33,-41,33,"nodes_testalgorithm.lua"
18,-46,-23,-33,"nodes_testalgorithm.lua"
19,-44,38,17,"nodes_testalgorithm.lua"
20,-40,9,-8,"nodes_testalgorithm.lua"
21,17,46,-9,"nodes_testalgorithm.lua"
22,3,-30,19,"nodes_testalgorithm.lua"
23,-21,-18,-36,"nodes_testalgorithm.lua"
24,19,28,33,"nodes_testalgorithm.lua"
25,-9,-48,-47,"nodes_testalgorithm.lua"
26,25,12,49,"nodes_testalgorithm.lua"
27,16,25,-20,"nodes_testalgorithm.lua"
28,-22,-5,29,"nodes_testalgorithm.lua"
29,-28,-40,-43,"nodes_testalgorithm.lua"
30,-5,-3,41,"nodes_testalgorithm.lua"
31,-40,-21,40,"nodes_testalgorithm.lua"
32,-21,-38,-37,"nodes_testalgorithm.lua"
33,2,-48,-42,"nodes_testalgorithm.lua"
34,18,42,-29,"nodes_testalgorithm.lua"
35,41,-23,-20,"nodes_testalgorithm.lua"
36,-1,8,-45,"nodes_testalgorithm.lua"
37,7,7,11,"nodes_testalgorithm.lua"
38,-35,46,9,"nodes_testalgorithm.lua"
39,-24,20,-27,"nodes_testalgorithm.lua"
40,-40,3,-9,"nodes_testalgorithm.lua"
41,45,19,-1,"nodes_testalgorithm.lua"
42,-9,4,-45,"nodes_testalgorithm.lua"
43,27,4,-45,"nodes_testalgorithm.lua"
44,16,-36,1,"nodes_testalgorithm.lua"
45,29,44,-47,"nodes_testalgorithm.lua"
46,9,38,40,"nodes_testalgorithm.lua"
47,4,-36,-5,"nodes_testalgorithm.lua"
48,-36,39,31,"nodes_testalgorithm.lua"
49,-12,-10,4,"nodes_testalgorithm.lua"
50,-33,15,43,"nodes_testalgorithm.lua"
51,-14,-15,7,"nodes_testalgorithm.lua"
52,25,14,23,"nodes_testalgorithm.lua"
53,-37,38,19,"nodes_testalgorithm.lua"
54,12,15,25,"nodes_testalgorithm.lua"
55,-15,-15,26,"nodes_testalgorithm.lua"
56,-23,-14,40,"nodes_testalgorithm.lua"
57,25,-7,38,"nodes_testalgorithm.lua"
58,46,-49,16,"nodes_testalgorithm.lua"
59,0,12,-43,"nodes_testalgorithm.lua"
60,-39,29,45,"nodes_testalgorithm.lua"
61,-44,-5,-14,"nodes_testalgorithm.lua"
62,8,44,-9,"nodes_testalgorithm.lua"
